,0,1
0,"This lens works very nice for portrait shoots. Gives a very nice detailed subject shot with nice blurred background!  the results from this lens impressed me the first time I used it on the camera,  I paired it up with a canon rebel EOS T6S and  on viewing the photos on the computer even at 100% all I could say was WOW!  Detail and sharpness was incredible. For the money $120.00 or a little less this one is a great investment.  Only negative I found is that it is a little noisy on focusing for a STM compared to some of the others but the picture quality and quickness to focus still make it a great lens to own. The image quality more than makes up for this.Read full review...",positive
1,"I just purchased my first camera and from what I’d gathered the starter lens was good for family functions and such, but for better quality I was advised to start with this lens. I LOVE IT! My pictures are coming out beautifully and I really love the 1.8 aperture. I don’t think that I’ll ever take it off (before I upgrade to whatever is next). I’m completely in love with this jewel. Images are sharp, crisp, and clean! I’m so glad to have started with this lens instead of waiting. I hope this helps someone decide. It’s definitely worth the reasonable cost.Read full review...",positive
2,"This lense is excellent value for the money. I have a crop sensor camera (70d) so this lense is equivalent to about 80mm which is a good focal point for portraits. This lense however might not be ideal for taking pictures indoors as you'll find yourself having to back up a bit. It's fairly sharp wide open and very sharp when you stop it down a bit. The build quality is ok it has a metal mount which I like which is a great improvement upon the old ""nifty-fifty"". I can't complain about this lense really, it's great value for the money especially if you're on a budget.Read full review...",positive
3,Really impressed on the clarity and focus of the lense. Very nice and sharp pictures taken right out of the box. Surprised how much of a difference it makes. It would be nice to have a bit more options as mm goes in one lense but I guess thats the photographer life. We do have the 18-55mm by canon as well and it does really good for a lot of things. This 50mm does 50mm extremely well.Read full review...,positive
4,"This is a great little prime lens. Great for close up shots.Very nice bokeh, much better than kit lens.Great video, with decent auto focus.Cons:very zoom in image. That makes it difficult to be versatile with this lens attached.Also the motor makes noise when changing focus.And when moving around taking videos you have to be careful to monitor the image because this lens does not auto focus as fast as some lenses do.Read full review...",positive
5,"I bought this prime hoping for better low light and better bokeh than the kit lens. Both are true, but I found I have to stop down to a smaller aperture to get a useful depth of field and clear focus at close range. So, there is still no substitute for practice and skill :) it is very light weight for travel, which is my primary use.Read full review...",positive
6,"Super sharp prime lens.  80mm equivalent on ASP-C camera.  Ideal focal length for portraits on ASP-C camera.  Small and light, I take it with me everywhere along with my EF-S 24mm f2.8 STM pancake lens (38mm equivalent on ASP-C).  The two lenses make a great pair for everyday use.  Small, light and quiet.Read full review...",positive
7,"I'm really loving this lens so far. I'm getting more into street photography and wanted to get my 6D down to a nice small size to be more on the go when traveling or walking the cities.It feels so pure and free not having to worry about zoom and having a fixed point to work with while shooting in the moment. This lens is super lightweight and small, and very sharp. Also, the very large aperture creates a great looking bokeh.Highly recommend picking up this lens!Read full review...",positive
8,"This is the best lens you can get for the price. It has great build quality and it gets the job done. I use this for video so I prefer hard stops on the focus ring, but other than that, I can't think of problems. It auto focuses quickly and the focus ring has a decent throw.Read full review...",positive
9,"This lens is great for video, specifically for getting a clear focal image with a slightly hazy background. Be sure to get the one that says STM because others will also say EF 50mm 1.8 then something else similar, and I almost ordered the wrong one before catching my error.Look for the STM or order this one. It's great! The filter lenses are an awesome bonus too. The box tells exactly what each is for if you're not sure.Read full review...",positive
10,"This is my first lens besides the kit lens and its exactly what I needed. The wider aperture allows the user to play around with the crisp depth of field. Yes, its not as convenient as a zoom lens but it does its job exceptionally well. Just use your feet to frame your shot!ProsQuick focusSharp Depth of Field/wide aperturePriceBuild QualityConsNo zoom (but you shouldn't expect that anyway)Overall I am very satisfied with this lens!Read full review...",positive
11,"It works perfectly with all of my cameras. I'm definitely going to buy two more now. This is a must-have for anyone seeking clear focus in still pictures or indie filmmaking. This has wonderful depth of field, and adds serious quality to your arsenal of lenses.Read full review...",positive
12,"I got my lens yesterday and right away tried it out. It produces beautiful bokeh at f/1.8! It's well made, and relatively quiet. Nice focus ring for manual focus. Was going to get the cheap Chinese knock off, but after seeing a video review of both lenses, the Canon blows the knock off away. Very happy with the lens so far.Read full review...",positive
13,"The 50mm 1.8 STM lens is a great step up from 18-55 kit lens (I own a Canon t5i). Depending on what mode you're shooting in for videos will determine if you hear then lens focusing or not, but it's barely visible. Unless your DSLR is wifi compatible, it may be difficult to take your own portraits, so invest in a 5-10ft shutter remote, or a wireless one.Read full review...",positive
14,This lens is extremely smooth on the focusing. It feels a lot better than the old canon 1.8 lens. Image quality is excellent. I'm using it on my Canon 77D and I love it.,positive
15,"I would say this is a tad sharper than the ii wide open, but I'm getting more keepers out of this lens compared to the old one due to it's auto-focus being a big step up. Overall, I really love this lens with it's better build quality, but why Canon doesn't put instant manual focus override in this lens boggles me...Read full review...",positive
16,Bought these lens because I wanted to do some portrait photography and wanted my pics to come out where the background is out of focus and these lens do just that! Arrived new and works just like it should. It focuses very quick and is pretty accurate with focusing. Focuses right where I want it to focus. Really love the f1.8 and the effect it creates with portraits. Excellent lens!Read full review...,positive
